start	end	text
7410	21420	Queridos, vamos abrir a Palavra de Deus no livro de Gênesis, livro dos princípios, capítulo 1, Gênesis capítulo 1.
22800	27200	E, por gentileza, deixe a sua Bíblia aberta aí.
27260	31080	Nós iremos do verso 14 até o final do capítulo, verso 31.
32300	36620	E nós iremos fazendo a leitura à medida que a exposição prossegue.
37680	41000	Gênesis capítulo 1, nós vamos de 14 a 31.
41000	47260	Nós estamos, assim, dando continuação à nossa série de mensagens nesse livro tão querido.
47750	52460	É o primeiro livro da Bíblia, é o primeiro dos cinco livros de Moisés, o Pentateuco.
53200	59560	Alguns pontos importantes para a nossa compreensão desse livro já foram destacados nas mensagens anteriores.
60190	64640	Ele foi escrito por Moisés durante aquele período de 40 anos no deserto,
64660	70980	mas, propriamente, durante o tempo que eles estavam próximos a atravessar o Rio Jordão,
71000	77000	para a Terra Prometida, nas campinas de Moab, à altura da cidade de Jericó, do outro lado do rio.
77540	86120	E o alvo de Moisés, ao registrar tudo isso, era preparar os israelitas para entrar na Terra Prometida,
86240	93680	uma terra que era povoada por povos pagãos, povos que não conheciam a Deus, tinham seus deuses,
93740	98600	os seus costumes, suas práticas, a sua cultura, praticavam idolatria abominável.
99080	100280	E, ao mesmo tempo...
101000	107720	Os israelitas tinham passado 400 anos no Egito, uma cultura completamente adversa,
108460	112160	antagônica ao conceito monoteísta de que havia um só Deus,
112300	117500	e que também tinha práticas e costumes bem contrários à vontade de Deus.
118160	123900	Então, era preciso preparar esse povo para, ao entrar na Terra Prometida,
124000	128640	eles vivessem de acordo com o querer de Deus, e que fosse realmente o povo de Deus,
128740	130900	o povo da aliança, o povo distinto que Deus...
131000	132340	separou de todas as nações.
132720	136480	Daí, a necessidade de deixar por escrito a vontade de Deus,
137200	140340	que é também a razão pela qual Deus nos deixou a Bíblia,
140420	145000	para que nós aprendamos aqui, na sua revelação, quem Ele é, quem nós somos,
145160	147700	o que Ele deseja de nós e de que maneira nós devemos viver.
147960	151740	É isso que Moisés fez durante aquele tempo no deserto.
151800	156440	Ele escreve os cinco livros, começando com esse livro, que é o livro de Gênesis,
156460	160780	com o propósito de reorientar a visão teológica dos israelitas,
161000	163220	a sua cosmovisão, maneira de ver o mundo,
163340	168980	e especialmente mostrar que o Deus de Israel é superior a todos os deuses pagãos.
169020	171760	Os deuses dos egípcios, onde eles viveram,
171760	175440	e os deuses dos cananeus, onde eles haveriam de viver.
175900	182920	Moisés começa a sua narrativa descrevendo a criação dos céus e da terra no princípio.
182920	183680	Versos 1 e 2.
183920	187600	No princípio, criou Deus os céus e a terra. Nós já vimos isso.
188040	190980	E, com essa descrição simples, Moisés escreveu isso.
191000	194400	Moisés mostrou que Deus é eterno, que Ele é todo poderoso,
194480	197360	que Ele é pessoal, que Ele é distinto da sua criação,
197500	202140	que Ele criou todas as coisas do nada, somente possui a palavra,
202420	206260	e que, portanto, o mundo não é eterno, nem é autoexistente.
206660	211980	E teve uma época em que não havia nada, somente Deus, que sempre existiu.
211980	214840	Ele que trouxe à existência tudo o que há.
215300	218680	E Deus teve um propósito ao fazer isso.
218680	223780	Ele teve um propósito na maneira como Ele criou todas as coisas,
224680	228980	revelando aos poucos o seu querer, ordenando a matéria,
229060	233400	e começando a preparar o ambiente para o ápice da sua criação,
233400	238100	que só vai ser revelada no sexto dia, que é exatamente o homem, como nós veremos hoje.
238600	243640	Ele cria a luz, separa a luz das trevas e nomeia luz e trevas.
243800	247300	Ele cria o firmamento, separa as águas de baixo e de cima,
247300	252200	ajunta as águas de baixo, faz aparecer a parte seca e nomeia,
252240	258660	e faz essa terra seca produzir relva, ervas, plantas e árvores frutíferas
258660	261800	para servir de alimento para o que vem em seguida,
261900	263040	que é o que nós vamos ver hoje.
263240	266560	Ou seja, Ele tinha um design, Ele tinha um propósito
266560	272680	nas etapas em que Ele processa a formatação da matéria que Ele criou do nada.
273000	275720	Isso Ele fez em três dias de trabalho humano.
275720	277760	Nós já tratamos da questão dos dias.
278000	282440	E Ele fez isso tudo muito bom, nos três primeiros dias.
282700	286460	E agora nós veremos hoje os três dias seguintes,
286460	291480	quando Deus então preenche com vida esse mundo bonito que Ele criou,
291560	297000	que Ele organizou e que Ele preparou de maneira tão maravilhosa e misteriosa,
297080	298140	é o que nós veremos hoje.
298680	301240	Vamos ver então, em primeiro lugar, o quarto dia,
301420	305700	quando Deus cria o sol, a lua e as estrelas.
305720	307520	Versos 14 a 19.
307800	311320	Disse Deus que haja luzeiros no firmamento dos céus
311320	314360	para fazerem separação entre o dia e a noite,
314560	318680	sejam eles para sinais, para estações, para dias e anos,
318860	322640	e sirvam de luzeiros no firmamento dos céus para iluminar a terra.
322960	323880	E assim aconteceu.
324720	328740	Deus fez os dois grandes luzeiros, o maior para governar o dia
328740	332920	e o menor para governar a noite, e fez também as estrelas
332920	335700	e os colocou no firmamento dos céus.
335700	339080	O firmamento dos céus para iluminarem a terra,
339260	341500	para governarem o dia e a noite,
341660	345180	e para fazerem separação entre a luz e as trevas.
345440	350820	E Deus viu que isso era bom e houve tarde e manhã o quarto dia.
351540	359240	Aqui, nesse dia, Deus então cria o que nós conhecemos como sol, lua e as estrelas.
359640	362240	Quais são os pontos centrais dessa narrativa aqui?
362400	364500	O que é que Moisés quer destacar aqui?
364500	365840	E o que é que nós podemos aprender?
366080	372960	Primeiro, que Deus cria os luzeiros no firmamento somente pela sua palavra.
373960	378940	Eu sei que há teorias de todos os tipos para explicar a origem do cosmos,
379260	384380	como nós o vemos, da terra, o universo profundo e misterioso.
384660	389580	Do ponto de vista bíblico, histórico, é uma criação de Deus.
389760	393640	Deus falou e os luzeiros apareceram.
393640	396840	Eles são referidos aqui como alguém, como eu disse,
396900	400260	isso é uma das condições para a gente entender Gênesis,
400280	404300	Moisés fala como se ele estivesse na terra vendo tudo acontecer.
404940	410000	Então, da perspectiva de Moisés, o que ele via, ou o que alguém teria visto,
410160	413720	era simplesmente naquele espaço que Deus havia criado,
413740	416980	que separa as águas e que ele deu o nome de firmamento,
417120	422800	de repente aparecem essas coisas brilhantes, esses luzeiros, essas luzes.
422800	426700	Era isso, a narrativa é da perspectiva do observador.
427100	429880	É claro que hoje, pelo avanço da ciência,
429960	433380	a gente tem condição de saber que o que parece ser uma simples descrição,
433620	437260	Deus criou o sol, criou o maior, criou o luminar menor,
437420	443400	e numa breve frase, e fez as estrelas, está descrevendo a criação do cosmos.
444540	448800	Bilhões e bilhões de estrelas, de sóis, de planetas,
448800	451740	que a gente não consegue ver o fim deles.
451740	453960	A gente não tem ideia da dimensão.
454020	458380	E tudo isso é resumido numa frase, e fez também as estrelas.
458700	465620	Então, o foco aqui é que Deus é o autor de toda essa realidade maravilhosa que nós vemos.
465680	472040	Pela sua palavra, ele agora enche o firmamento com luzes, luzes.
472400	477600	E o objetivo delas, diz aqui, era para governar o dia e a noite.
477840	480960	Aqui é importante a gente notar que,
480960	485360	quando Moisés fala que o sol governa o dia e a lua governa a noite,
485520	491400	é governar no sentido de marcar quando termina um e quando começa o outro.
491500	495160	A alternância do dia e da noite, da luz e das trevas.
495280	499460	O sol e a lua não tem qualquer influência no destino dos homens.
499560	501100	E nem as estrelas.
501240	505320	Como se cria lá no Egito, e como os cananeus acreditavam,
505340	507180	que as estrelas determinavam o futuro.
507320	508720	E até hoje tem gente que acredita.
509700	511720	Que as estrelas vão determinar o futuro.
