start	end	text
5740	12940	Irmãos, abramos a Palavra de Deus no livro de Gênesis, capítulo 1, verso 1º.
13080	14860	Nós vamos ler versos 1 e 2.
15480	19640	Estamos dando início a uma série de mensagens expositivas
19640	24000	nos 11 capítulos iniciais do livro de Gênesis.
27290	31090	Gênesis, capítulo 1, versos 1 e 2.
40830	41990	Ouçamos a leitura.
42530	44450	Gênesis, capítulo 1, versos 1 e 2.
44450	48230	No princípio, Deus criou os céus e a terra.
48980	51550	A terra era sem forma e vazia.
51950	54670	Havia trevas sobre a face do abismo
54670	58410	e o Espírito de Deus se movia sobre as águas.
59210	59870	Oremos.
60710	68210	Senhor, nós estamos diante das palavras iniciais da Tua grande revelação
68210	73330	e quão profundas e desafiadoras elas são.
74450	79630	Nós queremos pedir entendimento, nós queremos pedir discernimento espiritual
79630	86570	à medida que nós tentamos entender todos os mistérios que aqui estão revelados
86570	90210	e ficar em paz com relação àqueles que não estão.
91320	96290	Nós pedimos, ó Pai, que Tu nos guardes e abençoes na série de mensagens
96290	100870	que queremos fazer nesse livro, de maneira que traga entendimento,
101030	104090	que traga fortalecimento à nossa fé.
104450	106010	Que traga compreensão da nossa fé.
106510	108590	É o que nós te pedimos em nome de Jesus.
109170	109690	Amém.
111110	114710	Queridos, conforme dito, nós iniciamos hoje, pela manhã,
114770	118170	uma série de mensagens no livro de Gênesis.
118170	122590	Não no livro todo, mas nós vamos do capítulo 1 até o capítulo 11.
123130	126990	Pode ser que se chegarmos no final do capítulo 11
126990	128710	e a gente perceber que foi bem,
128830	130290	porque isso aqui é um desafio para mim.
130410	132690	Eu nunca preguei expositivamente em Gênesis.
133170	134170	Então, se...
134450	137590	Até o capítulo 11, a gente vê que está indo bem, dando certo,
137690	139550	a gente arrisca até o 50, não é?
139950	143130	O livro de Gênesis está dividido em duas grandes partes.
143970	146150	Primeiro, a história de como tudo começou,
146410	148270	capítulo 1 até o capítulo 11,
148750	151850	e depois a história de Abraão e os seus descendentes,
151910	154250	que é do capítulo 12 até o capítulo 50.
155690	158510	Então, vamos começar modestamente.
158630	162650	O alvo é modesto, é apenas capítulo 1 até o capítulo 11.
162770	164250	Se Deus nos der graça, quem sabe,
164450	168570	a gente vai até o final do livro todo.
169070	172930	Esses capítulos iniciais de Gênesis, capítulos de 1 a 11,
173190	175510	também chamados de a história primeva,
175570	177910	a história primordial, primeira história,
178670	183150	trata de temas extremamente cruciais para a fé cristã.
183250	186990	E alguns desses temas estão em bastante evidência hoje
188230	191150	na relação do cristianismo com a sociedade,
191250	193130	com a cultura, a questão dos valores.
193750	194430	Mas...
194450	196710	Por exemplo, aqui nós lemos como tudo começou.
198090	201610	Lemos por que existe algo em vez de nada.
201890	204450	Por que tem uma realidade em vez de nada?
204770	207530	Nós lemos aqui, nesses capítulos iniciais.
207550	210970	Aqui nós lemos a origem da vida, a origem do ser humano.
211630	215910	Aqui nós temos a origem do casamento e da natureza do casamento,
215910	221450	a base pela qual nós lutamos pelo casamento monogâmico,
222630	223190	heterossexual.
223610	224430	Aqui nós...
224430	227890	Aqui nós também aprendemos por que existe tanto mal no mundo,
228030	229970	por que existe tanta injustiça,
230030	233110	por que as pessoas se matam, se odeiam,
233150	235330	apesar de Deus ter feito tudo muito bom.
235650	240070	E tudo isso nos aponta e nos traz a resposta para a pergunta
240070	242250	por que nós precisamos do Evangelho
242250	244610	e por que nós precisamos de um Redentor.
244710	248390	Todas essas questões estão aqui nos capítulos iniciais
248390	250290	do livro de Gênesis,
250310	254410	a ponto de alguém já ter dito que se você tirar esses capítulos iniciais,
254430	258530	o resto da mensagem da Bíblia não faz o menor sentido.
258930	261590	Você não vai entender o que é que vem depois,
261910	264890	o porquê do que é que se sucede.
266090	269530	Nessa série, então, nós vamos tratar dessas questões,
269550	270450	mercê de Deus.
270870	273170	Vamos começar vendo algumas coisas introdutórias
273730	275550	a respeito do livro de Gênesis.
275570	279750	Aqui é muito importante que nós, ao estudarmos a Bíblia
279750	282470	ou qualquer parte da Bíblia, nós procuremos lembrar
282470	284410	quando essa parte foi feita.
284410	287470	Quando ela foi escrita, por quem, para quem, com que propósito,
288110	288970	o que é que trata.
289330	293670	Não é que isso é essencial para nós termos acesso
293670	297750	ao significado do texto, significado salvador.
298070	301050	Porque de alguns livros a gente não sabe nem quem é o autor,
301150	302270	nem quando foram escritos.
303570	308570	Entretanto, qualquer pessoa lendo a Bíblia com o uso ordinário,
308570	311250	o uso normal das suas facilidades,
311250	314230	pode chegar ao conhecimento salvador de Jesus Cristo,
314230	315690	lendo a Bíblia normalmente.
316010	319390	Mas você tendo o conhecimento mais aprofundado
319390	322290	dessas circunstâncias, isso lhe dá uma clareza maior
322290	325510	em você entender a mensagem da Bíblia.
325550	328230	Por isso que nós queremos fazer algumas questões,
328850	331190	ou trazer algumas questões introdutórias aqui.
331390	334870	Primeiro, Gênesis é o primeiro livro da Bíblia.
334890	337230	Seu livro, seu nome significa princípio.
337750	340250	A palavra grega, perdão, hebraica, bereshit,
340350	341950	que é logo a primeira palavra.
342410	344110	Então, é isso que dá o nome.
344230	345790	Ao livro de Gênesis.
345790	347930	Ele é o livro do princípio.
348330	351450	E ele sempre é tratado e referido na Bíblia,
351450	354270	juntamente com os quatro outros livros que vêm depois.
355070	357670	Êxodo, Levítico, Números e Deuteronômio.
357790	360370	Esses cinco livros formam o Pentateuco,
360510	363070	ou a Torá, ou a Lei.
363550	367150	E eles todos são atribuídos a Moisés.
367550	368990	E essa é a nossa posição.
369390	371670	É a posição do cristianismo histórico,
371770	373410	é a posição do cristianismo clássico,
373410	377750	de que esses cinco livros, Gênesis até Deuteronômio,
377830	379690	eles foram escritos por Moisés,
379890	383930	o grande legislador da nação de Israel.
384310	386790	A única parte que Moisés não escreveu
386790	388870	foi a parte que relata a sua morte,
388990	390770	que está no final de Deuteronômio.
390910	394350	Então, provavelmente, o seu sucessor, Josué,
394510	397270	foi quem escreveu o capítulo final,
397310	401950	onde se narra a morte de Moisés e como Deus o sepultou.
403410	406230	Por que nós dizemos que é Moisés e qual a importância disso?
406870	410950	Bem, os próprios cinco livros, o Pentateuco,
411050	413870	em várias partes eles dizem
413870	418010	e Deus disse a Moisés, escreve, escreve, escreve.
418430	421370	Dezenas de vezes nós encontramos referências
421370	423730	ao fato de que Deus mandou Moisés escrever
423730	427310	aquilo que ele estava vendo, aquilo que ele estava presenciando.
428110	430990	E depois disso, depois dos cinco livros,
430990	433390	os livros que vêm depois, no Antigo Testamento,
